UserID,Age,Gender,Dietary Preferences,Favorite Foods,Disliked Foods,Allergies,Intolerances,Health Objectives,Activity Level,Meals per Day
1,56,Female,Vegetarian,"['Green Onion', 'Grapes', 'Cauliflower']",['Sweet Corn'],None,None,Muscle Gain,Very active,3
2,46,Female,Omnivore,"['Green Cabbage', 'Cantaloupe', 'Orange']",['Pineapple'],Dairy,None,Weight Loss,Very active,5
3,32,Male,Vegan,"['Mushrooms', 'Cantaloupe', 'Kiwifruit']",['Green Cabbage'],Dairy,None,Weight Loss,Very active,4
4,60,Male,Vegetarian,"['Mushrooms', 'Lemon', 'Pineapple']",['Banana'],Nuts,Lactose,Muscle Gain,Very active,3
5,25,Male,Vegetarian,"['Carrot', 'Orange', 'Watermelon']",['Asparagus'],Dairy,Lactose,Weight Loss,Moderately active,4
6,38,Male,Vegetarian,"['Onion', 'Celery', 'Sweet Corn']",['Leaf Lettuce'],Dairy,None,Muscle Gain,Very active,5
7,56,Female,Omnivore,"['Honeydew Melon', 'Grapes', 'Celery']",['Leaf Lettuce'],Gluten,Lactose,Weight Loss,Moderately active,5
8,36,Male,Vegan,"['Iceberg Lettuce', 'Green Onion', 'Asparagus']",['Green Cabbage'],Nuts,Lactose,General Fitness,Very active,2
9,40,Male,Vegetarian,"['Cantaloupe', 'Watermelon', 'Orange']",['Radishes'],Gluten,Lactose,Weight Loss,Moderately active,4
10,28,Male,Vegetarian,"['Orange', 'Bell Pepper', 'Sweet Cherrie']",['Cantaloupe'],Gluten,None,Weight Loss,Moderately active,4
11,28,Male,Vegetarian,"['Cucumber', 'Sweet Cherrie', 'Pineapple']",['Pear'],None,Gluten,Muscle Gain,Sedentary,3
12,41,Male,Omnivore,"['Honeydew Melon', 'Carrot', 'Green (Snap) Beans']",['Orange'],Nuts,Gluten,Weight Loss,Very active,4
13,53,Female,Omnivore,"['Potato', 'Sweet Cherrie', 'Honeydew Melon']",['Peach'],None,Gluten,Muscle Gain,Sedentary,2
14,57,Male,Vegan,"['Broccoli', 'Iceberg Lettuce', 'Cucumber']",['Honeydew Melon'],None,None,General Fitness,Sedentary,5
15,41,Female,Omnivore,"['Mushrooms', 'Strawberries', 'Orange']",['Grapefruit'],Gluten,Lactose,Muscle Gain,Very active,5
16,20,Male,Vegetarian,"['Strawberries', 'Radishes', 'Sweet Cherrie']",['Cauliflower'],Dairy,Lactose,Muscle Gain,Sedentary,2
17,39,Female,Vegan,"['Onion', 'Cucumber', 'Iceberg Lettuce']",['Iceberg Lettuce'],Nuts,None,Weight Loss,Very active,4
18,19,Male,Vegetarian,"['Orange', 'Leaf Lettuce', 'Sweet Corn']",['Plums'],Dairy,None,General Fitness,Sedentary,4
19,41,Male,Vegetarian,"['Summer Squash', 'Cucumber', 'Apple']",['Lime'],Gluten,Gluten,Muscle Gain,Very active,2
20,61,Female,Omnivore,"['Potato', 'Summer Squash', 'Cantaloupe']",['Watermelon'],Gluten,Gluten,Weight Loss,Very active,3
21,47,Female,Vegan,"['Summer Squash', 'Nectarine', 'Radishes']",['Onion'],Gluten,None,Weight Loss,Very active,5
22,55,Female,Omnivore,"['Cucumber', 'Pineapple', 'Broccoli']",['Kiwifruit'],Gluten,Gluten,Muscle Gain,Moderately active,2
23,19,Male,Omnivore,"['Mushrooms', 'Orange', 'Nectarine']",['Peach'],Gluten,Lactose,Weight Loss,Sedentary,2
24,38,Female,Vegan,"['Plums', 'Bell Pepper', 'Carrot']",['Sweet Potato'],Gluten,None,Muscle Gain,Moderately active,4
25,50,Male,Vegetarian,"['Tomato', 'Peach', 'Orange']",['Asparagus'],Dairy,None,Muscle Gain,Sedentary,5
26,29,Male,Vegetarian,"['Celery', 'Sweet Cherrie', 'Green Cabbage']",['Celery'],None,Lactose,Muscle Gain,Sedentary,4
27,39,Female,Vegan,"['Iceberg Lettuce', 'Asparagus', 'Pineapple']",['Honeydew Melon'],Dairy,Lactose,General Fitness,Sedentary,2
28,61,Female,Vegetarian,"['Peach', 'Sweet Cherrie', 'Green Cabbage']",['Strawberries'],Nuts,Lactose,Muscle Gain,Moderately active,3
29,42,Male,Vegan,"['Honeydew Melon', 'Celery', 'Sweet Corn']",['Cucumber'],Dairy,Gluten,Weight Loss,Sedentary,5
30,44,Male,Vegan,"['Mushrooms', 'Avocado', 'Apple']",['Summer Squash'],Gluten,None,General Fitness,Moderately active,2
31,59,Female,Omnivore,"['Mushrooms', 'Pineapple', 'Grapefruit']",['Green (Snap) Beans'],Dairy,Gluten,Weight Loss,Very active,2
32,45,Female,Vegan,"['Nectarine', 'Kiwifruit', 'Green (Snap) Beans']",['Summer Squash'],None,Lactose,General Fitness,Sedentary,3
33,33,Female,Omnivore,"['Radishes', 'Banana', 'Pineapple']",['Carrot'],Nuts,Gluten,General Fitness,Sedentary,2
34,32,Male,Vegetarian,"['Green (Snap) Beans', 'Tangerine', 'Green Onion']",['Orange'],Dairy,Lactose,General Fitness,Very active,2
35,64,Male,Vegetarian,"['Lemon', 'Grapefruit', 'Onion']",['Peach'],None,Gluten,General Fitness,Very active,5
36,61,Male,Vegetarian,"['Asparagus', 'Potato', 'Plums']",['Avocado'],Dairy,Gluten,Weight Loss,Sedentary,5
37,20,Male,Vegetarian,"['Mushrooms', 'Green (Snap) Beans', 'Lime']",['Green (Snap) Beans'],Nuts,Lactose,Muscle Gain,Very active,5
38,54,Male,Omnivore,"['Green (Snap) Beans', 'Mushrooms', 'Peach']",['Mushrooms'],Dairy,Gluten,Weight Loss,Moderately active,4
39,24,Male,Vegetarian,"['Lime', 'Banana', 'Avocado']",['Peach'],Gluten,None,Muscle Gain,Moderately active,3
40,38,Female,Vegan,"['Grapes', 'Broccoli', 'Strawberries']",['Pineapple'],Dairy,Gluten,Weight Loss,Sedentary,5
41,26,Male,Vegan,"['Apple', 'Mushrooms', 'Kiwifruit']",['Plums'],None,Gluten,General Fitness,Moderately active,4
42,56,Male,Vegan,"['Banana', 'Tomato', 'Bell Pepper']",['Grapefruit'],Dairy,None,General Fitness,Moderately active,4
43,35,Male,Omnivore,"['Cantaloupe', 'Banana', 'Radishes']",['Sweet Potato'],None,Lactose,Muscle Gain,Sedentary,3
44,21,Female,Vegetarian,"['Pineapple', 'Cucumber', 'Lime']",['Bell Pepper'],Nuts,None,Muscle Gain,Very active,3
45,42,Male,Vegetarian,"['Avocado', 'Orange', 'Cucumber']",['Lime'],Dairy,Gluten,Weight Loss,Sedentary,2
46,31,Male,Vegetarian,"['Grapes', 'Nectarine', 'Cucumber']",['Honeydew Melon'],Nuts,Lactose,Muscle Gain,Moderately active,4
47,26,Female,Omnivore,"['Cantaloupe', 'Radishes', 'Nectarine']",['Onion'],Nuts,Gluten,Weight Loss,Sedentary,5
48,43,Male,Vegan,"['Honeydew Melon', 'Avocado', 'Asparagus']",['Tomato'],Dairy,Gluten,Muscle Gain,Sedentary,3
49,19,Male,Vegan,"['Cauliflower', 'Lemon', 'Leaf Lettuce']",['Sweet Cherrie'],None,None,Muscle Gain,Moderately active,4
50,37,Male,Vegetarian,"['Onion', 'Celery', 'Lime']",['Honeydew Melon'],Nuts,None,Muscle Gain,Moderately active,5
51,45,Male,Vegan,"['Leaf Lettuce', 'Pear', 'Plums']",['Broccoli'],Nuts,Lactose,General Fitness,Sedentary,4
52,64,Male,Vegan,"['Lemon', 'Iceberg Lettuce', 'Potato']",['Lime'],Dairy,Lactose,General Fitness,Moderately active,3
